areaSource|areaSourceHigh|areaSourceLow|areaTotal|associationId|datlocation|depth|endtime|eventid|h|hHigh|hLow|hfall|hfall_high|hfall_low|l|lHigh|lLow|latitude|locuncertKm|longitude|lppotential|mass|massHigh|massLow|maxdistvhfKm|maxdistvhfReached|maxdisthfKm|maxdisthfReached|maxdistipKm|maxdistipReached|maxdistlpKm|maxdistlpReached|maxdistinfraKm|maxdistinfraReached|infraDetected|name|otherdataquality1to5|peakDischarge|peakDischargeLow|peakDischargeHigh|peakFlowheight|peakFlowheightLow|peakFlowheightHigh|starttime|sources|toeLat|toeLon|topLat|topLon|upstreamDrainarea|type|subtype|volume|volumeHigh|volumeLow
||||22|IRIS||2007_07_25 010251|22|1860.00000||||||5760.00000|||61.10249|0.00000|-140.30550|1|108000000000.00000|||||1079.00000|True|||1100.00000|False||||Mount Steele 2|5|||||||2007_07_25 005835|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;|61.14054|-140.25324|61.10249|-140.30550||rock and ice avalanche|Rock/ice/debris avalanches and slides|54000000.00000|80500000.00000|27500000.00000
||||218|RESIF, ETH, ORFEUS, LMU, BGR, IRIS, INGV||2017_08_23 093828|218||||||||||46.29552||9.60190|0||||||246.00000|False|||0.00000|||||Piz Cengalo 4, Switzerland|1|||||||2017_08_23 093617|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||landslide|Rock/ice/debris avalanches and slides|||
111000.00000|||1130000.00000|127|IRIS||2017_07_22 205957|127|931.00000||||||3730.00000|||60.07385|0.00000|-139.84532|1||||||351.00000|False|||386.00000|False|0.00000||False|Lucia Glacier|4|||||||2017_07_22 205630|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|60.06616|-139.90755|60.07385|-139.84532||rock avalanche|Rock/ice/debris avalanches and slides|3000000.00000|4000000.00000|2300000.00000
100000.00000|150000.00000|65000.00000|820000.00000|186|IRIS, NCEDC||2013_07_25 101727|186|690.00000|760.00000|640.00000||||2000.00000|2100.00000|1600.00000|61.98450|0.00000|-143.16830|1|40000000000.00000|||||500.00000|False|||500.00000|False||||Wrangell Mountains|4|||||||2013_07_25 101456|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|61.97220|-143.14950|61.98450|-143.16830||rock and debris avalanche|Rock/ice/debris avalanches and slides|2600000.00000|3900000.00000|1800000.00000
23400.00000||||147|IRIS||2019_05_13 144245|147|1240.00000||||||4320.00000|||50.34480|0.00000|-122.45110|1||||||391.00000|True|||301.00000|True||||Mount Joffre 1|5|||||||2019_05_13 143955|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;|50.36720|-122.41540|50.34480|-122.45110||rock avalanche, debris flow|Rock/ice/debris avalanches and slides|1900000.00000||
||||213|ETH, ORFEUS, LMU, BGR, IRIS, INGV||2015_10_02 160136|213||||||||||47.00510|0.20000|10.97280|0||||||306.00000|False|||0.00000|||||Sölden, Austria|4|||||||2015_10_02 155900|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||rock slide|Rock/ice/debris avalanches and slides|150000.00000|200000.00000|100000.00000
||||230|IRIS, INGV||2014_07_13 093504|230||||||||||46.77140|0.15000|12.74260|0||||||55.00000|False|||0.00000|||||Lienzer Dolomiten, Austria|1|||||||2014_07_13 093422|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||rock slide|Rock/ice/debris avalanches and slides|||
||||246|RESIF, ETH, INGV||2016_04_29 194130|246||||||||||45.46801|0.35000|5.93135|0||||||153.00000|False|||0.00000|||||Mont Granier 2, France|4|||||||2016_04_29 194007|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||rock fall|Rock/debris falls|10000.00000||
||||77|IRIS||2006_07_25 221514|77||||||||||48.76830|0.10000|-121.81310|0||||||7.00000|True|||0.00000|||||Mount Baker|3|||||||2006_07_25 221320|Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href="https%3A//doi.org/10.5066/F7251H3W"&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;||||||ice and debris avalanche|Rock/ice/debris avalanches and slides|||
||||252|RESIF, INGV||2017_05_30 185427|252||||||||||43.85000|6.00000|6.70000|0||||||244.00000|False|||0.00000|||||Saint Auban, France|1|||||||2017_05_30 185205|Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Bessette-Kirton, E., 2022, Seismogenic Landslides and other Mass Movements: U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href="https%3A//doi.org/10.5066/P90VGCSK"&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;||||||landslide|Rock/ice/debris avalanches and slides|||
