,areaSource,areaSourceHigh,areaSourceLow,areaTotal,associationId,datlocation,depth,endtime,eventid,h,hHigh,hLow,hfall,hfall_high,hfall_low,l,lHigh,lLow,latitude,locuncertKm,longitude,lppotential,mass,massHigh,massLow,maxdistvhfKm,maxdistvhfReached,maxdisthfKm,maxdisthfReached,maxdistipKm,maxdistipReached,maxdistlpKm,maxdistlpReached,maxdistinfraKm,maxdistinfraReached,infraDetected,name,otherdataquality1to5,peakDischarge,peakDischargeLow,peakDischargeHigh,peakFlowheight,peakFlowheightLow,peakFlowheightHigh,starttime,sources,toeLat,toeLon,topLat,topLon,upstreamDrainarea,type,subtype,volume,volumeHigh,volumeLow
0,100000.0,,,1600000.0,273,IRIS,,2017_06_23 214249,273,1200.0,,,,,,2600.0,,,32.0797,0.0,103.6628,1,,,,,,591.0,False,,,591.0,False,,,,"Xinmo Village, China",5,,,,,,,2017_06_23 213916,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,"rock slide, rock avalanche",Rock/ice/debris avalanches and slides,13000000.0,14000000.0,12000000.0
1,,,,10000000.0,285,IRIS,,1997_12_26 070719,285,,,,,,,4000.0,,,16.709,0.1,-62.1762,1,,,,,,0.0,,,,450.0,False,,,,Montserrat,5,,,,,,,1997_12_26 070240,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",16.6753,-62.1762,16.709,-62.1762,,"debris avalanche, pyroclastic density current",Rock/ice/debris avalanches and slides,46000000.0,50000000.0,40000000.0
2,,,,,277,IRIS,,2013_01_21 011052,277,900.0,,,,,,2900.0,,,-43.5611,0.0,170.1801,2,,,,,,73.0,False,,,56.0,False,,,,"Mount Haast, New Zealand",5,,,,,,,2013_01_21 010828,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",-43.5857,170.1764,-43.5611,170.1801,,rock avalanche,Rock/ice/debris avalanches and slides,2000000.0,,
3,,,,,276,IRIS,,2020_07_24 221811,276,,,,,,,,,,35.26,0.0,-111.62292,0,,,,2.0,1.0,2.0,True,,,0.0,,,,,"Museum Fire, Arizona",5,,3.0,6.0,,,,2020_07_24 214125,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,debris flow,Lahar/debris flow/outburst flood,,,
4,,,,,280,"NCEDC, IRIS",,2021_07_28 025915,280,,,,,,,,,,41.4197,0.6,-122.2115,0,,,,9.0,1.0,9.0,True,,,0.0,,0.0,,,"Whitney and Bolam Creek, Mount Shasta",4,,,,,,,2021_07_27 172215,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,debris flow,Lahar/debris flow/outburst flood,,,
5,,,,,308,"INGV, IRIS",,2014_02_27 165745,308,,,,,,,,,,43.8991,0.05,12.3444,0,,,,,,175.0,True,,,0.0,,,,,"San Leo 1, Italy",5,,,,,,,2014_02_27 165634,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",43.9014,12.3439,43.8991,12.3444,,rock fall,Rock/debris falls,110000.0,,
6,,,,45000.0,302,INGV,,2022_11_26 040401,302,440.0,,,,,,1116.0,,,40.7319,0.0,13.8982,0,,,,3.0,1.0,5.0,True,,,0.0,,,,,"Casamicciola, Italy",5,,,,,,,2022_11_26 040041,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",40.7406,13.9018,40.7319,13.8982,,debris flow,Lahar/debris flow/outburst flood,40000.0,,
7,,,,,293,IRIS,,2022_01_06 135004,293,,,,,,,,,,46.1894,1.0,-122.1655,0,,,,,,15.0,True,,,0.0,,,,False,"Shoestring Notch, Mount St Helens",2,,,,,,,2022_01_06 133112,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,snow avalanche,Snow avalanches,,,
8,3500.0,4100.0,2600.0,60000.0,299,IRIS,,2022_12_22 102106,299,240.0,320.0,200.0,,,,430.0,600.0,400.0,50.7395,0.0,-116.7833,0,,,,,,488.0,True,,,0.0,,,,,Snowpatch Spire,4,,,,,,,2022_12_22 101834,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",50.7411,-116.778,50.7395,-116.7833,,rock fall,Rock/debris falls,23000.0,30000.0,18000.0
9,,,,,272,"IRIS, GEOFON",,2014_07_21 232953,272,,,,,,,2100.0,,,65.0124,0.2,-16.6852,1,,,,,,127.0,True,,,584.0,False,,,,Askja Caldera,5,,,,,,,2014_07_21 232404,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",65.0238,-16.7264,65.0124,-16.6852,,"rock slide, outburst flood",Rock/ice/debris avalanches and slides,20000000.0,50000000.0,12000000.0
