Date,Event ID,Time Start,Time End,Remarks,Notes on Location + Directivity,Notes on Velocity,,
6/25/2011,,23:04:15,23:07:00,Youtube video of icefall off Nisqually transitioning into a surface flow,,,,
9/18/2018,,21:31:20,21:32:40,Recorded w/ video from STAR (see logs),,,,
8/6/2019,,1:55:00,4:00:00,Confirmed debris flow (TahomaCreekDebrisFlowLocate.py),,,,
9/27/2019,,0:30:00,1:15:00,Confirmed debris flow (SARA_debrisflow.py),,,,
4/1/2020,,0:20:00,0:40:00,No idea,,,,
4/1/2020,,17:08:30,17:11:00,? Check stream gauge,,,,
4/1/2020,,17:14:00,17:17:30,? Check stream gauge,,,,
4/1/2020,,17:23:00,17:25:30,? Check stream gauge,,,,
4/2/2020,3120733,21:44:00,21:45:10,Rockfall (?),"Located on the NE side, directivity is generally E to ESE",27 m/s,,
4/5/2020,3121423,4:17:00,4:18:30,Rockfall (?),"Located same as below event, directivity SSW",110 m/s,,
4/5/2020,3121428,5:02:00,5:03:10,Rockfall (?),"Located on W side below loberty cap, directivity SSE",174 m/s,,
4/6/2020,3121868,14:19:30,14:21:00,Avalanche (?),"Located E side, directivity S",53 m/s,,
4/9/2020,3122683,13:28:30,13:30:00,Avalanche.  Confirmed with video from the carbon glacier headwall west of liberty ridge,"This one is off, located generally NE (high error on the location), directivity NE",74 m/s,,
4/15/2020,3123418,13:08:45,13:09:30,?,"Located on the NE side, directivity ENE",76 m/s,,
4/20/2020,,4:00:00,4:00:30,?,,,,
4/19/2020,,14:07:45,14:08:45,icefall?,,,,
4/20/2020,,17:37:30,17:38:00,?,,,,
4/24/2020,,18:54:00,18:58:00,?,,,,
4/28/2020,,22:11:00,22:12:00,symmetric cigar,,,,
5/10/2020,3127223,9:20:50,9:21:45,double pulse cigar,"Located on W side, directivity SE?",160 m/s,,
5/9/2020,,1:53:00,1:54:00,double cigar pulse,,,,
5/18/2020,,11:16:00,11:20:00,Nice moving source upstream Puyallup (helicopter?),,,,
5/24/2020,,14:13:00,14:16:00,Nice moving source upstream Puyallup (helicopter?),,,,
7/16/2020,3134133,4:26:00,4:27:30,Large signal (Liberty Cap verified w/ satellite) MIRR array recorded as well,"Located on N side of liberty cap, directivity SE",30 m/s,,GOOD
8/14/2020,,5:05:30,5:07:00,"Nice signal on SIFT, points toward sunset amp",,,,
8/19/2020,3137438,20:22:30,20:23:30,"Nice signal on PRs, but none on SIFT.  Cigar shaped seismic.","Located on W side, W directivity",35 m/s,,
