time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2025-06-18T17:03:42.500Z,43.261833333333335,-123.55433333333333,-0.47,0.65,md,6,92,0.1488,0.2,uw,uw62122302,2025-06-18T19:25:25.850Z,"7 km WNW of Melrose, Oregon",explosion,0.65,31.61,0.19892400464185167,5,reviewed,uw,uw
2025-06-17T19:30:03.810Z,47.11366666666667,-123.102,-0.23,1.36,ml,13,112,0.06747,0.26,uw,uw62129981,2025-06-18T22:28:02.320Z,"11 km S of Shelton, Washington",explosion,0.51,31.61,0.14971133468326636,7,reviewed,uw,uw
2025-06-17T17:26:00.490Z,49.457166666666666,-120.531,-0.51,1.96,ml,9,248,0.6069,0.41,uw,uw62129891,2025-06-17T18:48:17.230Z,"1 km W of Princeton, Canada",explosion,1.76,31.61,0.08908950824124895,8,reviewed,uw,uw
2025-06-17T17:20:48.310Z,44.58116666666667,-116.63516666666666,-1.5,1.32,mh,3,141,0.5499,0.09,uw,uw62129886,2025-06-17T18:21:47.580Z,"3 km ENE of Cambridge, Idaho",explosion,0.71,31.61,,0,reviewed,uw,uw
2025-06-16T22:10:25.770Z,46.888666666666666,-123.767,-0.23,1.1300000000000001,ml,11,151,0.08369,0.07,uw,uw62129511,2025-06-16T23:54:26.460Z,"7 km S of Cosmopolis, Washington",explosion,0.43,31.61,0.18708934056122195,9,reviewed,uw,uw
2025-06-16T20:36:11.700Z,42.967166666666664,-124.06333333333333,-0.7,1.1500000000000001,ml,4,269,0.1054,0.08,uw,uw62129431,2025-06-16T23:25:52.310Z,"9 km N of Powers, Oregon",explosion,0.88,31.61,0.07153297624394428,3,reviewed,uw,uw
2025-06-16T17:47:28.000Z,46.732166666666664,-116.87733333333334,-0.88,1.78,ml,12,109,0.04537,0.78,uw,uw62129371,2025-06-16T23:16:34.830Z,"8 km W of Troy, Idaho",explosion,2.51,31.61,0.02802233096433948,4,reviewed,uw,uw
2025-06-15T17:14:03.640Z,49.345333333333336,-120.45483333333334,-0.51,1.75,ml,7,218,0.5431,0.26,uw,uw62128866,2025-06-17T17:13:05.090Z,"13 km SSE of Princeton, Canada",explosion,1.59,31.61,0.11351135314393646,7,reviewed,uw,uw
2025-06-14T17:19:47.060Z,49.3285,-120.44633333333333,-0.37,2.09,ml,12,208,0.5372,0.3,uw,uw62128421,2025-06-16T22:01:21.100Z,"15 km SSE of Princeton, Canada",explosion,2.02,31.61,0.14615201993704874,7,reviewed,uw,uw
2025-06-13T22:54:35.570Z,48.580333333333336,-123.53583333333333,-0.21,1.17,ml,9,87,0.089,0.13,uw,uw62128101,2025-06-14T19:01:32.150Z,"9 km WSW of Saanichton, Canada",explosion,0.55,31.61,0.015499081604116283,3,reviewed,uw,uw
2025-06-13T18:46:24.650Z,48.0895,-121.944,-0.55,2,ml,7,76,0.01228,0.09,uw,uw62127991,2025-06-14T18:46:01.960Z,"1 km ENE of Granite Falls, Washington",explosion,0.37,31.61,0.3670896362257734,3,reviewed,uw,uw
2025-06-13T17:29:47.740Z,44.84583333333333,-123.57033333333334,-0.39,0.65,md,5,159,0.1012,0.13,uw,uw62127941,2025-06-14T07:39:21.210Z,"10 km WSW of Falls City, Oregon",explosion,1.27,31.61,0.1884407420011227,3,reviewed,uw,uw
2025-06-12T23:02:44.770Z,46.962666666666664,-122.24183333333333,-0.48,1.7,ml,20,222,0.02876,0.14,uw,uw62127626,2025-06-16T20:28:11.630Z,"2 km SSW of Kapowsin, Washington",explosion,0.41,31.61,0.2398608120560235,13,reviewed,uw,uw
2025-06-12T22:27:09.050Z,47.1425,-120.79466666666667,-0.92,1.47,ml,15,126,0.007988,0.41,uw,uw62127586,2025-06-16T21:20:14.990Z,"12 km ESE of Cle Elum, Washington",explosion,1.03,31.61,0.15398772124801674,10,reviewed,uw,uw
2025-06-12T21:42:02.810Z,49.118,-122.1745,-0.68,0.96,md,7,244,0.1334,0.06,uw,uw62127556,2025-06-16T20:38:56.410Z,"8 km NE of Abbotsford, Canada",explosion,1.46,31.61,0.09453584859953534,4,reviewed,uw,uw
2025-06-12T21:20:17.380Z,49.35,-120.5015,-0.51,2.17,ml,11,200,0.5738,0.44,uw,uw62127531,2025-06-16T20:34:59.050Z,"12 km S of Princeton, Canada",explosion,2.63,31.61,0.0870947613966111,7,reviewed,uw,uw
2025-06-12T20:34:30.620Z,42.920833333333334,-123.60316666666667,-0.64,1.24,ml,8,118,0.03442,0.07,uw,uw62127481,2025-06-16T20:31:37.830Z,"19 km W of Riddle, Oregon",explosion,0.41,31.61,0.0366763685360425,3,reviewed,uw,uw
2025-06-12T16:02:29.840Z,47.494,-117.291,-0.64,1.47,ml,7,117,0.114,2.01,uw,uw62127281,2025-06-12T19:32:00.130Z,"10 km NE of Spangle, Washington",explosion,9.83,31.61,0.027008002684642762,2,reviewed,uw,uw
2025-06-11T20:30:24.980Z,45.45433333333333,-122.88083333333333,-0.38,1.5,ml,5,145,0.008815,0.16,uw,uw62126991,2025-06-12T20:42:49.760Z,"4 km SSW of Aloha, Oregon",explosion,1.38,31.61,0.008808069225436643,2,reviewed,uw,uw
2025-06-11T17:44:18.380Z,49.36533333333333,-120.52183333333333,-0.51,1.86,ml,6,236,0.5879,0.47,uw,uw62126856,2025-06-12T17:26:00.140Z,"10 km S of Princeton, Canada",explosion,6.03,31.61,0.04722212797689829,4,reviewed,uw,uw
2025-06-10T20:05:56.270Z,47.233333333333334,-123.71116666666667,-0.25,0.58,md,10,150,0.03999,0.13,uw,uw62126176,2025-06-10T20:15:09.020Z,"18 km E of Humptulips, Washington",explosion,0.56,31.61,0.2231906693777409,10,reviewed,uw,uw
2025-06-10T17:31:52.460Z,46.853,-123.6625,-0.28,0.84,ml,4,232,0.1328,0.06,uw,uw62126106,2025-06-10T19:27:04.520Z,"13 km S of Central Park, Washington",explosion,1.22,31.61,0.028222876734235125,3,reviewed,uw,uw
2025-06-08T21:07:51.500Z,49.3745,-120.512,-0.37,1.98,ml,7,182,0.5822,0.03,uw,uw62125336,2025-06-09T19:31:03.820Z,"9 km S of Princeton, Canada",explosion,0.7,31.61,0.1224720079744197,6,reviewed,uw,uw
2025-06-05T23:38:19.020Z,46.06,-122.82183333333333,-0.42,1.37,ml,8,175,0.1084,0.24,uw,uw62123976,2025-06-06T00:30:44.220Z,"5 km ENE of Prescott, Oregon",explosion,1.86,31.61,0.23081673904897748,5,reviewed,uw,uw
2025-06-05T22:08:13.460Z,46.851,-123.72383333333333,-0.21,1.74,ml,11,118,0.05168,0.42,uw,uw62123926,2025-06-06T00:18:03.350Z,"12 km SSE of Cosmopolis, Washington",explosion,1.27,31.61,0.2667377696073021,8,reviewed,uw,uw
2025-06-05T21:14:24.760Z,46.91166666666667,-120.57116666666667,-0.87,1.92,ml,15,105,0.003305,0.7,uw,uw62123901,2025-06-06T00:06:19.900Z,"9 km S of Ellensburg, Washington",explosion,1.96,31.61,0.11685670909361323,12,reviewed,uw,uw
2025-06-05T17:26:03.700Z,46.52,-121.99583333333334,-1.14,1.1400000000000001,ml,13,175,0.05107,0.15,uw,uw62123801,2025-06-05T23:53:05.090Z,"21 km ESE of Morton, Washington",explosion,1.24,31.61,0.1993672666360683,5,reviewed,uw,uw
2025-06-05T16:15:16.830Z,46.138333333333335,-119.13566666666667,-0.23,1.72,ml,6,255,0.3256,0.06,uw,uw62123746,2025-06-06T12:33:06.809Z,"1 km WNW of Highland, Washington",explosion,0.89,31.61,0.10225113694172427,4,reviewed,uw,uw
2025-06-04T21:33:29.610Z,46.1685,-119.3515,-0.35,1.46,ml,5,142,0.2371,0.39,uw,uw62123316,2025-06-04T22:50:52.880Z,"14 km SSW of Richland, Washington",explosion,0.84,31.61,0.5956617206328292,3,reviewed,uw,uw
2025-06-04T19:30:24.990Z,47.87283333333333,-122.68216666666666,-0.03,1.48,ml,8,90,0.08338,0.33,uw,uw62123221,2025-06-04T20:41:39.700Z,"5 km S of Port Ludlow, Washington",explosion,0.86,31.61,0.07605715948959824,4,reviewed,uw,uw
2025-06-03T23:17:07.220Z,45.803,-122.46316666666667,-0.81,1.43,ml,9,307,0.1331,0.13,uw,uw62122641,2025-06-04T16:10:43.590Z,"4 km NW of Venersborg, Washington",explosion,1.04,31.61,0.20899309443434788,6,reviewed,uw,uw
2025-06-03T22:12:28.080Z,46.967666666666666,-122.2225,-0.4,1.58,ml,24,161,0.01929,0.12,uw,uw62122556,2025-06-03T23:49:36.600Z,"2 km S of Kapowsin, Washington",explosion,0.4,31.61,0.13911286163689907,16,reviewed,uw,uw
2025-06-03T21:19:58.720Z,49.367,-120.5085,-0.37,2.0300000000000002,ml,6,214,0.5793,0.04,uw,uw62122516,2025-06-04T21:46:31.860Z,"10 km S of Princeton, Canada",explosion,1.02,31.61,0.09301455686633286,4,reviewed,uw,uw
2025-06-03T21:04:49.320Z,49.0345,-122.10883333333334,-0.83,0.76,md,4,296,0.03943,0.02,uw,uw62122506,2025-06-04T21:39:38.840Z,"10 km ESE of Abbotsford, Canada",explosion,3.39,31.61,0.09614341086175893,4,reviewed,uw,uw
2025-06-03T19:27:56.430Z,47.50683333333333,-122.67516666666667,-0.11,1.8800000000000001,ml,6,287,0.1166,0.32,uw,uw62122441,2025-06-03T22:50:11.260Z,"3 km SE of Gorst, Washington",explosion,3.91,31.61,0.2878647615923625,4,reviewed,uw,uw
2025-06-03T19:08:06.500Z,45.083666666666666,-121.29816666666666,-1.22,1.04,md,8,118,0.1591,0.2,uw,uw62122431,2025-06-03T23:06:11.080Z,"5 km ESE of Pine Grove, Oregon",explosion,1.01,31.61,0.02142430893472058,5,reviewed,uw,uw
2025-06-03T19:04:52.120Z,45.312666666666665,-122.69916666666667,-0.49,1.42,ml,5,295,0.05851,0.05,uw,uw62122421,2025-06-03T23:20:16.750Z,"5 km SSE of Stafford, Oregon",explosion,0.82,31.61,0.1745549755114697,2,reviewed,uw,uw
2025-06-02T23:20:16.710Z,45.95916666666667,-118.21183333333333,-0.52,1.05,md,5,179,0.06668,0.13,uw,uw62121411,2025-06-04T21:14:45.420Z,"12 km SE of Walla Walla East, Washington",explosion,1.31,31.61,0.13239651032155075,5,reviewed,uw,uw
2025-06-02T22:00:12.640Z,47.8315,-121.9415,-0.56,1.32,ml,4,184,0.1193,0.03,uw,uw62121331,2025-06-04T21:04:42.420Z,"3 km SE of Monroe, Washington",explosion,0.79,31.61,0.18235345544181647,3,reviewed,uw,uw
2025-06-02T20:17:54.610Z,47.66766666666667,-117.83566666666667,-0.67,1.04,md,6,91,0.3245,0.24,uw,uw62121176,2025-06-03T23:36:02.420Z,"3 km E of Reardan, Washington",explosion,0.79,31.61,0.0034383352901676822,3,reviewed,uw,uw
2025-05-30T21:08:07.080Z,49.36083333333333,-120.4865,-0.37,1.69,ml,8,180,0.5645,0.17,uw,uw62118501,2025-06-02T20:18:11.260Z,"10 km S of Princeton, Canada",explosion,1.46,31.61,0.10095822090998374,5,reviewed,uw,uw
2025-05-30T20:04:57.030Z,45.486333333333334,-123.98016666666666,-0.04,1.32,ml,14,209,0.001463,0.52,uw,uw62118486,2025-06-02T20:15:39.430Z,"1 km WSW of Cape Meares, Oregon",explosion,2.31,31.61,0.04587986737076277,5,reviewed,uw,uw
2025-05-29T22:04:33.860Z,49.413,-120.5135,-0.51,2.2800000000000002,ml,8,223,0.5876,0.28,uw,uw62118001,2025-05-29T23:35:13.170Z,"5 km S of Princeton, Canada",explosion,2.52,31.61,0.07512487541643331,3,reviewed,uw,uw
2025-05-29T21:57:36.100Z,49.31433333333333,-120.43533333333333,-0.44,1.98,ml,8,193,0.5301,0.61,uw,uw62117996,2025-05-29T23:29:26.580Z,"16 km SSE of Princeton, Canada",explosion,4.79,31.61,0.14239838180652653,4,reviewed,uw,uw
2025-05-28T21:33:45.140Z,48.090666666666664,-121.916,-1.24,1.35,ml,5,249,0.105,0.18,uw,uw62117416,2025-05-29T01:02:38.550Z,"3 km E of Granite Falls, Washington",explosion,1.04,31.61,0.023232436901673537,2,reviewed,uw,uw
2025-05-27T21:53:48.920Z,49.07066666666667,-122.12416666666667,-0.68,1.35,ml,5,302,0.04618,0.2,uw,uw62117141,2025-05-28T05:18:40.300Z,"9 km E of Abbotsford, Canada",explosion,3.24,31.61,0.10812054077635536,3,reviewed,uw,uw
2025-05-27T20:30:11.940Z,47.111,-123.08566666666667,-0.07,1.44,ml,12,148,0.06994,0.17,uw,uw62117096,2025-05-28T05:11:23.590Z,"11 km S of Shelton, Washington",explosion,0.48,31.61,0.24672676647291314,9,reviewed,uw,uw
2025-05-27T19:40:43.820Z,47.1585,-121.835,-0.77,0.58,md,15,122,0.05261,0.09,uw,uw62117081,2025-05-28T05:44:06.490Z,"12 km ESE of Enumclaw, Washington",explosion,0.53,31.61,0.20274708430697874,11,reviewed,uw,uw
