,areaSource,areaSourceHigh,areaSourceLow,areaTotal,associationId,datlocation,depth,endtime,eventid,h,hHigh,hLow,hfall,hfall_high,hfall_low,l,lHigh,lLow,latitude,locuncertKm,longitude,lppotential,mass,massHigh,massLow,maxdistvhfKm,maxdistvhfReached,maxdisthfKm,maxdisthfReached,maxdistipKm,maxdistipReached,maxdistlpKm,maxdistlpReached,maxdistinfraKm,maxdistinfraReached,infraDetected,name,otherdataquality1to5,peakDischarge,peakDischargeLow,peakDischargeHigh,peakFlowheight,peakFlowheightLow,peakFlowheightHigh,starttime,sources,toeLat,toeLon,topLat,topLon,upstreamDrainarea,type,subtype,volume,volumeHigh,volumeLow
6,,,,,277,IRIS,,2013_01_21 011052,277,900.0,,,,,,2900.0,,,-43.5611,0.0,170.1801,2,,,,,,73.0,False,,,56.0,False,,,,"Mount Haast, New Zealand",5,,,,,,,2013_01_21 010828,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",-43.5857,170.1764,-43.5611,170.1801,,rock avalanche,Rock/ice/debris avalanches and slides,2000000.0,,
15,2600000.0,4000000.0,1900000.0,22000000.0,81,IRIS,,2016_06_28 162604,81,1620.0,,1500.0,,,,10500.0,,10000.0,58.77918,0.0,-136.88827,1,141000000000.0,,134000000000.0,,,1002.0,True,,,500.0,False,,,,Lamplugh Glacier main,5,,,,,,,2016_06_28 162048,"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;",58.82433,-136.88114,58.73174,-136.89472,,rock avalanche,Rock/ice/debris avalanches and slides,64900000.0,68600000.0,51700000.0
36,,,,,308,"INGV, IRIS",,2014_02_27 165745,308,,,,,,,,,,43.8991,0.05,12.3444,0,,,,,,175.0,True,,,0.0,,,,,"San Leo 1, Italy",5,,,,,,,2014_02_27 165634,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",43.9014,12.3439,43.8991,12.3444,,rock fall,Rock/debris falls,110000.0,,
60,,,,,318,"NCEDC, IRIS",,2022_08_03 060517,318,,,,,,,,,,41.4401,1.0,-122.2111,0,,,,8.0,1.0,9.0,False,,,0.0,,7.0,True,True,"Bolam Creek, Mount Shasta",3,,,,,,,2022_08_03 015801,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",,,,,,debris flow,Lahar/debris flow/outburst flood,,,
68,480000.0,680000.0,440000.0,1700000.0,59,IRIS,,2015_10_18 052243,59,,,720.0,,,,,,1600.0,60.17374,0.0,-141.18218,1,180000000000.0,,150000000000.0,,,465.0,True,,,600.0,False,,,,Taan Fjord,4,,,,,,,2015_10_18 051836,"Allstadt, Kate E., McVey, Brennah G., and Malone, Stephen D., 2017, Seismogenic Landslides, Debris Flows, and Outburst Floods in the Western United States and Canada from 1977 to 2017: U.S. Geological Survey data release, https://doi.org/10.5066/F7251H3W.&lt;a href=""https%3A//doi.org/10.5066/F7251H3W""&gt;https://doi.org/10.5066/F7251H3W&lt;/a&gt;",60.16525,-141.17054,60.17925,-141.20138,,rock avalanche,Rock/ice/debris avalanches and slides,76000000.0,78000000.0,72000000.0
74,,,,,333,IRIS,,2023_03_13 120547,333,700.0,1000.0,600.0,,,,4000.0,4400.0,3600.0,46.1888,0.3,-122.1653,0,,,,,,52.0,True,,,0.0,,0.0,,False,"Shoestring Notch, Mount St Helens",2,,,,,,,2023_03_13 114808,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.1754,-122.1179,46.1888,-122.1653,,snow avalanche,Snow avalanches,,,
82,,,,,330,IRIS,,2023_08_28 001204,330,800.0,900.0,700.0,,,,5000.0,5400.0,4800.0,45.3497,0.1,-121.6957,0,,,,7.0,1.0,32.0,True,,,0.0,,0.0,,False,"White River, Mount Hood",4,,,,,,,2023_08_27 234430,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",45.308,-121.68,45.3497,-121.6957,,debris flow,Lahar/debris flow/outburst flood,,,
83,88000.0,,55639.0,154000.0,287,IRIS,,2022_06_28 223544,287,380.0,,,,,,700.0,,,40.302,0.0,-105.6835,2,,,,,,70.0,True,,,156.0,True,0.0,,False,"Chaos Canyon, Rocky Mountain National Park",5,,,,,,,2022_06_28 223344,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 2.0, December 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",40.3013,-105.6779,40.302,-105.6835,,debris slide,Rock/ice/debris avalanches and slides,2130000.0,2250000.0,2010000.0
84,140000.0,,,1500000.0,325,IRIS,,2023_09_14 021000,325,1300.0,,,,,,3400.0,,,63.1399,0.0,-151.1872,1,,,,,,594.0,False,,,594.0,False,287.0,True,True,"Peters Dome, Denali National Park",4,,,,,,,2023_09_14 020638,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",63.1688,-151.2044,63.1399,-151.1872,,rock and ice avalanche,Rock/ice/debris avalanches and slides,4500000.0,6000000.0,3000000.0
97,20700.0,,,370000.0,323,"IRIS, NCEDC",,2023_05_15 044004,323,348.0,,,,,,7500.0,7600.0,,46.28,0.0,-122.1895,0,,,,0.0,,16.0,True,,,0.0,,0.0,,False,"South Coldwater, Mount St Helens",4,,,,,,,2023_05_15 032910,"Collins, E.A., Allstadt, K.E., Groult, C., Hibert, C., Malet, J.-P., Toney, L.D., and Jensen, E.K., 2022, Seismogenic Landslides and other Mass Movements (ver. 3.0, May 2025): U.S. Geological Survey data release, https://doi.org/10.5066/P90VGCSK.&lt;a href=""https%3A//doi.org/10.5066/P90VGCSK""&gt;https://doi.org/10.5066/P90VGCSK&lt;/a&gt;",46.28742,-122.26492,46.27995,-122.18941,,"debris slide, debris flow",Rock/ice/debris avalanches and slides,234000.0,235000.0,
