time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2025-04-18T01:38:48.280Z,40.4758333333333,-111.926333333333,-2,1.8,ml,13,102,0.02949,0.27,uu,uu80105956,2025-06-17T21:23:38.040Z,"1 km SE of Bluffdale, Utah",quarry blast,0.56,31.61,0.224104170071187,8,reviewed,uu,uu
2025-04-14T20:04:37.786Z,43.6779,-105.314,0,3.3,ml,20,75,1.025,0.28,us,us6000q61i,2025-06-14T18:26:43.040Z,"16 km ESE of Wright, Wyoming",mining explosion,7.33,1.731,0.128,8,reviewed,us,us
2025-04-13T17:16:36.850Z,43.7123,-105.2701,0,2.9,ml,19,77,0.981,0.7,us,us6000q5t9,2025-06-14T18:26:42.040Z,"18 km ESE of Wright, Wyoming",mining explosion,5.36,1.798,0.148,6,reviewed,us,us
2025-04-11T20:55:22.416Z,40.6453,-109.5046,0,3.3,ml,58,48,0.089,0.45,us,us6000q5i2,2025-06-14T18:26:41.040Z,"19 km NNE of Maeser, Utah",mining explosion,3.47,1.76,0.032,126,reviewed,us,us
2025-04-11T19:54:21.584Z,43.6096,-105.3571,0,3.2,ml,32,74,1.084,0.89,us,us6000q5hs,2025-06-14T18:26:41.040Z,"19 km SE of Wright, Wyoming",mining explosion,6.85,1.736,0.046,61,reviewed,us,us
2025-04-11T17:56:15.720Z,43.8084,-105.3385,0,3.1,ml,46,67,0.991,0.6,us,us6000q5gj,2025-06-14T18:26:41.040Z,"13 km ENE of Wright, Wyoming",mining explosion,6.56,1.755,0.046,62,reviewed,us,us
2025-04-10T23:42:07.885Z,43.5637,-105.3664,0,2.5,ml,14,123,1.112,1.29,us,us7000putc,2025-06-14T18:26:45.040Z,"23 km SSE of Wright, Wyoming",mining explosion,5.68,1.844,0.07,27,reviewed,us,us
2025-04-07T18:04:28.549Z,43.7136,-105.3651,0,3.3,ml,20,77,1.043,0.32,us,us6000q4ld,2025-06-09T13:38:38.040Z,"11 km ESE of Wright, Wyoming",mining explosion,6.23,1.719,0.128,8,reviewed,us,us
2025-04-05T19:21:37.402Z,43.7111,-105.2431,0,3.2,ml,25,107,0.964,0.84,us,us6000q4ag,2025-06-09T13:38:38.040Z,"20 km ESE of Wright, Wyoming",mining explosion,4.24,1.56,0.043,77,reviewed,us,us
2025-04-04T19:56:52.687Z,43.7975,-105.3525,0,3.3,ml,65,32,1.004,0.52,us,us6000q41i,2025-06-09T13:38:38.040Z,"12 km ENE of Wright, Wyoming",mining explosion,5.84,1.717,0.041,79,reviewed,us,us
2025-04-04T19:08:48.360Z,43.4358,-105.333,0,3,ml,32,129,1.163,0.87,us,us6000q68c,2025-06-09T13:38:38.040Z,"37 km SSE of Wright, Wyoming",mining explosion,5.59,1.632,0.045,65,reviewed,us,us
2025-04-01T00:14:46.981Z,43.7863,-105.36,0,2.6,ml,7,125,1.013,0.9,us,us6000q5ez,2025-06-06T21:12:23.040Z,"11 km ENE of Wright, Wyoming",mining explosion,3.54,1.623,0.071,26,reviewed,us,us
2025-03-30T19:15:19.210Z,43.6618,-105.3408,0,3.2,ml,22,74,1.049,0.57,us,us7000pnwy,2025-06-06T21:12:28.040Z,"15 km SE of Wright, Wyoming",mining explosion,4.88,1.745,0.05,53,reviewed,us,us
2025-03-22T19:22:27.098Z,43.7297,-105.3806,0,3,ml,13,78,1.048,0.29,us,us7000plwr,2025-05-29T17:36:29.040Z,"9 km ESE of Wright, Wyoming",mining explosion,5.94,1.914,0.055,44,reviewed,us,us
